batch,time,Rc,C,I,mI,m1,P1
batch 6,90.0,6.796268,230.853337,475.552865,8.131217,0.159319,27.372611
batch 6,95.0,8.757507,244.008368,365.940415,6.731048,0.128128,27.41457
batch 7,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 7,5.0,23.450929,103.454428,129.568095,8.32772,0.63491,1.580078
batch 7,10.0,4.908967,177.796099,652.415298,9.924577,0.894731,6.405901
batch 7,15.0,2.784653,222.271047,1167.23819,9.195487,0.755976,11.161883
batch 7,20.0,2.585213,249.179633,1262.066966,7.322692,0.576526,14.757199
batch 7,25.0,4.430609,262.423425,732.151828,5.127434,0.430254,17.275631
batch 7,30.0,98.12704,139.528337,22.777231,4.619658,0.321637,18.965383
batch 7,35.0,18.366787,164.60127,173.280873,8.625397,0.404091,20.439738
batch 7,40.0,5.637897,211.472413,573.268938,9.12988,0.412354,22.333756
batch 7,45.0,4.219315,239.950389,770.074233,7.856908,0.331799,23.882995
batch 7,50.0,6.755764,253.003057,476.542915,5.991065,0.251795,24.893514
batch 7,55.0,70.165772,164.17735,37.845692,5.654411,0.192115,25.453474
batch 7,60.0,17.602527,183.740259,181.412823,8.468921,0.233849,25.913642
batch 7,65.0,6.736287,220.396029,479.650474,8.633203,0.236291,26.579727
batch 7,70.0,6.064754,242.145625,533.329046,7.335845,0.192229,27.066685
batch 7,75.0,16.677868,239.328447,184.402931,5.886626,0.147866,27.266993
batch 7,80.0,42.221649,170.985503,73.404734,7.188971,0.133962,27.256551
batch 7,85.0,11.426009,206.872442,280.930828,8.53832,0.168006,27.361064
batch 7,90.0,7.221134,232.270262,447.045004,7.921532,0.153912,27.521308
batch 7,95.0,10.859149,241.492061,292.773604,6.591172,0.123462,27.528045
batch 8,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 8,5.0,24.171707,101.980298,125.354778,8.252305,0.638311,1.584921
batch 8,10.0,5.091675,176.670971,628.563577,9.845102,0.905967,6.457476
batch 8,15.0,2.889324,221.417676,1124.551454,9.141888,0.767446,11.281607
batch 8,20.0,2.694561,248.477182,1210.45085,7.309604,0.58573,14.934726
batch 8,25.0,4.731813,261.521225,684.747465,5.153855,0.437248,17.49554
batch 8,30.0,98.582703,134.44307,23.656417,4.814295,0.327671,19.215286
