batch,time,mdm2,MDM2,p53
batch 12,2.4,0.4012,3.353,0.2428
batch 12,2.6,0.3797,3.4611,0.112
batch 12,2.8,0.3593,3.5065,0.1088
batch 12,3.0,0.3401,3.5037,0.1088
batch 12,3.2,0.3219,3.4645,0.1109
batch 12,3.4,0.3046,3.3979,0.115
batch 12,3.6,0.2883,3.3114,0.1209
batch 12,3.8,0.2729,3.2106,0.1285
batch 12,4.0,0.2583,3.1001,0.1381
batch 12,4.2,0.2444,2.9833,0.1499
batch 12,4.4,0.2314,2.8631,0.1643
batch 12,4.6,0.219,2.7416,0.1819
batch 12,4.8,0.2074,2.6204,0.2036
batch 12,5.0,0.1963,2.5007,0.2303
batch 12,5.2,0.1859,2.3835,0.2638
batch 12,5.4,0.1761,2.2696,0.3062
batch 12,5.6,0.1669,2.1594,0.3605
batch 12,5.8,0.1583,2.0534,0.4309
batch 12,6.0,0.1503,1.9519,0.5228
batch 12,6.2,0.1429,1.8554,0.6428
batch 12,6.4,0.1364,1.7642,0.7984
batch 12,6.6,0.1308,1.679,0.9971
batch 12,6.8,0.1265,1.6009,1.2447
batch 12,7.0,0.1239,1.5313,1.5442
batch 12,7.2,0.1236,1.4726,1.8939
batch 12,7.4,0.1263,1.428,2.2866
batch 12,7.6,0.133,1.4015,2.7084
batch 12,7.8,0.1442,1.398,3.1376
batch 12,8.0,0.1606,1.4227,3.5449
batch 12,8.2,0.1818,1.4799,3.8936
batch 12,8.4,0.2069,1.5721,4.142
batch 12,8.6,0.2338,1.6979,4.2473
batch 12,8.8,0.2596,1.8516,4.1715
batch 12,9.0,0.2808,2.0217,3.889
batch 12,9.2,0.2945,2.1929,3.3938
batch 12,9.4,0.2989,2.3478,2.706
batch 12,9.6,0.2943,2.4713,1.8787
batch 12,9.8,0.2831,2.554,1.0169
batch 12,10.0,0.2689,2.5944,0.371
batch 12,10.2,0.2546,2.5984,0.2205
batch 12,10.4,0.2411,2.574,0.2186
batch 12,10.6,0.2282,2.5284,0.2283
batch 12,10.8,0.2161,2.4671,0.2436
batch 12,11.0,0.2046,2.3946,0.2649
batch 12,11.2,0.1938,2.3145,0.2932
batch 12,11.4,0.1836,2.2295,0.33
batch 12,11.6,0.1741,2.1417,0.3779
batch 12,11.8,0.1651,2.053,0.4401
batch 12,12.0,0.1567,1.9647,0.5212
batch 12,12.2,0.149,1.8779,0.6267
batch 12,12.4,0.142,1.7939,0.7631
batch 12,12.6,0.136,1.7136,0.9374
batch 12,12.8,0.131,1.6382,1.1555
batch 12,13.0,0.1276,1.5694,1.4215
batch 12,13.2,0.1261,1.5093,1.7358
batch 12,13.4,0.1272,1.4607,2.094
batch 12,13.6,0.1316,1.4273,2.486
batch 12,13.8,0.1401,1.4133,2.8948
batch 12,14.0,0.1533,1.4237,3.2963
batch 12,14.2,0.1711,1.4628,3.659
batch 12,14.4,0.1931,1.534,3.9458
batch 12,14.6,0.2179,1.6377,4.1166
batch 12,14.8,0.243,1.7707,4.1332
batch 12,15.0,0.2654,1.9249,3.9653
batch 12,15.2,0.2821,2.0875,3.5974
batch 12,15.4,0.2908,2.2431,3.0358
batch 12,15.6,0.2907,2.3761,2.3133
batch 12,15.8,0.2831,2.4744,1.498
batch 12,16.0,0.2706,2.5326,0.7247
batch 12,16.2,0.2565,2.5525,0.288
batch 12,16.4,0.2429,2.5409,0.2299
batch 12,16.6,0.23,2.5054,0.2351
batch 12,16.8,0.2178,2.452,0.2487
batch 12,17.0,0.2062,2.3857,0.2686
batch 12,17.2,0.1953,2.3104,0.2956
batch 12,17.4,0.1851,2.2291,0.3311
batch 12,17.6,0.1754,2.1441,0.3774
batch 12,17.8,0.1663,2.0575,0.4377
batch 12,18.0,0.1579,1.9707,0.5163
batch 12,18.2,0.1501,1.885,0.6187
batch 12,18.4,0.1431,1.8017,0.7511
batch 12,18.6,0.1369,1.7217,0.9205
batch 12,18.8,0.1318,1.6464,1.1328
batch 12,19.0,0.1281,1.5774,1.3924
batch 12,19.2,0.1264,1.5167,1.7001
batch 12,19.4,0.1272,1.467,2.0521
batch 12,19.6,0.1312,1.4319,2.4391
batch 12,19.8,0.1392,1.4156,2.8449
batch 12,20.0,0.1517,1.423,3.2464
batch 12,20.2,0.1689,1.4585,3.6131
batch 12,20.4,0.1904,1.5256,3.9087
batch 12,20.6,0.2147,1.6251,4.0935
batch 12,20.8,0.2397,1.7542,4.1292
batch 12,21.0,0.2625,1.9055,3.9843
batch 12,21.2,0.2799,2.0668,3.6417
batch 12,21.4,0.2895,2.223,3.1047
batch 12,21.6,0.2904,2.3584,2.4027
batch 12,21.8,0.2836,2.4605,1.5982
batch 12,22.0,0.2715,2.523,0.8127
batch 12,22.2,0.2576,2.5468,0.3172
batch 12,22.4,0.2439,2.5383,0.2324
batch 12,22.6,0.2309,2.5052,0.2354
batch 12,22.8,0.2187,2.4537,0.2484
batch 12,23.0,0.2071,2.3888,0.2677
batch 12,23.2,0.1961,2.3145,0.2941
batch 12,23.4,0.1858,2.2339,0.3289
batch 12,23.6,0.1761,2.1494,0.3743
batch 12,23.8,0.167,2.0631,0.4335
batch 12,24.0,0.1585,1.9765,0.5106
batch 12,24.2,0.1507,1.8909,0.611
batch 12,24.4,0.1436,1.8074,0.741
batch 12,24.6,0.1373,1.7273,0.9074
batch 12,24.8,0.1322,1.6517,1.1164
batch 13,0.0,0.5,0.0,4.0
batch 13,0.2,0.5248,1.0101,5.5349
batch 13,0.4,0.5686,1.893,5.848
batch 13,0.6,0.6041,2.6838,5.0793
batch 13,0.8,0.6118,3.3616,3.3811
batch 13,1.0,0.5906,3.8892,1.043
batch 13,1.2,0.5593,4.2563,0.0778
batch 13,1.4,0.5293,4.4899,0.0711
batch 13,1.6,0.5009,4.6195,0.0678
batch 13,1.8,0.474,4.6688,0.0666
batch 13,2.0,0.4486,4.6567,0.0669
batch 13,2.2,0.4246,4.598,0.0681
batch 13,2.4,0.4018,4.5047,0.0703
batch 13,2.6,0.3802,4.386,0.0734
batch 13,2.8,0.3598,4.2493,0.0772
batch 13,3.0,0.3406,4.1005,0.0819
batch 13,3.2,0.3223,3.944,0.0874
batch 13,3.4,0.305,3.7834,0.0939
batch 13,3.6,0.2887,3.6213,0.1016
batch 13,3.8,0.2732,3.4599,0.1106
batch 13,4.0,0.2586,3.3007,0.1211
batch 13,4.2,0.2447,3.1448,0.1336
batch 13,4.4,0.2316,2.9932,0.1483
batch 13,4.6,0.2193,2.8464,0.166
batch 13,4.8,0.2076,2.7049,0.1874
batch 13,5.0,0.1965,2.5689,0.2136
batch 13,5.2,0.1861,2.4386,0.2461
batch 13,5.4,0.1763,2.3141,0.287
batch 13,5.6,0.167,2.1953,0.3394
batch 13,5.8,0.1583,2.0823,0.4072
batch 13,6.0,0.1503,1.9752,0.4958
batch 13,6.2,0.1429,1.874,0.6118
batch 13,6.4,0.1362,1.7789,0.763
batch 13,6.6,0.1305,1.6904,0.9572
batch 13,6.8,0.126,1.6092,1.2006
batch 13,7.0,0.1231,1.5368,1.4969
batch 13,7.2,0.1225,1.4753,1.8451
batch 13,7.4,0.1249,1.4277,2.2388
batch 13,7.6,0.1311,1.398,2.6644
batch 13,7.8,0.142,1.3912,3.1011
batch 13,8.0,0.158,1.4124,3.5199
batch 13,8.2,0.1791,1.4665,3.884
batch 13,8.4,0.2043,1.556,4.1515
batch 13,8.6,0.2318,1.6805,4.2782
batch 13,8.8,0.2584,1.8344,4.2243
batch 13,9.0,0.2808,2.0068,3.9617
batch 13,9.2,0.2958,2.1822,3.4812
batch 13,9.4,0.3013,2.343,2.8002
batch 13,9.6,0.2975,2.4732,1.9688
batch 13,9.8,0.2867,2.5623,1.0874
batch 13,10.0,0.2724,2.6082,0.3959
batch 13,10.2,0.258,2.6163,0.2177
batch 13,10.4,0.2442,2.5948,0.214
batch 13,10.6,0.2312,2.5512,0.2227
batch 13,10.8,0.2189,2.4912,0.237
batch 13,11.0,0.2073,2.4194,0.257
batch 13,11.2,0.1964,2.3395,0.2835
batch 13,11.4,0.186,2.2544,0.3181
batch 13,11.6,0.1763,2.1663,0.3631
batch 13,11.8,0.1672,2.0769,0.4214
batch 13,12.0,0.1586,1.9878,0.4973
batch 13,12.2,0.1508,1.9002,0.5961
batch 13,12.4,0.1436,1.815,0.7243
batch 13,12.6,0.1373,1.7333,0.8887
batch 13,12.8,0.132,1.6564,1.0956
batch 13,13.0,0.1282,1.5856,1.3498
batch 13,13.2,0.1261,1.523,1.6527
batch 13,13.4,0.1265,1.4711,2.0012
batch 13,13.6,0.1301,1.4334,2.3868
batch 13,13.8,0.1375,1.4141,2.7941
batch 13,14.0,0.1495,1.418,3.2007
batch 13,14.2,0.1662,1.4496,3.577
batch 13,14.4,0.1874,1.5128,3.887
batch 13,14.6,0.2117,1.6088,4.0907
batch 13,14.8,0.237,1.7354,4.1489
batch 13,15.0,0.2604,1.8857,4.0286
batch 13,15.2,0.2789,2.0479,3.71
batch 13,15.4,0.2897,2.2071,3.1933
batch 13,15.6,0.2918,2.3473,2.5044
batch 13,15.8,0.2858,2.4552,1.7014
batch 13,16.0,0.2741,2.5236,0.8967
batch 13,16.2,0.2602,2.5525,0.3449
batch 13,16.4,0.2464,2.548,0.2317
batch 13,16.6,0.2333,2.5177,0.2323
batch 13,16.8,0.2209,2.4683,0.2443
batch 13,17.0,0.2092,2.4048,0.2626
batch 13,17.2,0.1981,2.3313,0.2876
batch 13,17.4,0.1877,2.2512,0.3207
batch 13,17.6,0.1778,2.1668,0.3639
batch 13,17.8,0.1686,2.0804,0.4202
batch 13,18.0,0.16,1.9935,0.4936
batch 13,18.2,0.1521,1.9074,0.5891
batch 13,18.4,0.1448,1.8233,0.713
batch 13,18.6,0.1384,1.7423,0.8721
batch 13,18.8,0.133,1.6656,1.0727
batch 13,19.0,0.1289,1.5947,1.3198
batch 13,19.2,0.1266,1.5316,1.615
batch 13,19.4,0.1267,1.4787,1.9562
batch 13,19.6,0.1298,1.4393,2.3354
batch 13,19.8,0.1367,1.4177,2.7383
batch 13,20.0,0.148,1.4184,3.1436
batch 13,20.2,0.164,1.4462,3.5228
batch 13,20.4,0.1844,1.5048,3.8408
batch 13,20.6,0.2082,1.596,4.0585
batch 13,20.8,0.2333,1.718,4.1366
batch 13,21.0,0.2569,1.8645,4.0413
batch 13,21.2,0.276,2.0246,3.7509
batch 13,21.4,0.2878,2.1837,3.2629
batch 13,21.6,0.291,2.3259,2.5993
batch 13,21.8,0.286,2.4377,1.8129
batch 13,22.0,0.275,2.5107,1.0045
batch 13,22.2,0.2613,2.5442,0.3978
batch 13,22.4,0.2474,2.5434,0.237
batch 13,22.6,0.2343,2.5161,0.2332
batch 13,22.8,0.2218,2.4689,0.2443
batch 13,23.0,0.21,2.407,0.262
batch 13,23.2,0.1989,2.3348,0.2864
batch 13,23.4,0.1885,2.2556,0.3188
batch 13,23.6,0.1786,2.1719,0.3611
batch 13,23.8,0.1693,2.0859,0.4163
batch 13,24.0,0.1607,1.9992,0.4883
batch 13,24.2,0.1527,1.9132,0.582
batch 13,24.4,0.1454,1.8291,0.7036
batch 13,24.6,0.1389,1.748,0.8598
batch 13,24.8,0.1334,1.671,1.0571
batch 14,0.0,0.5,2.0,0.0
batch 14,0.2,0.4733,2.5662,0.2539
batch 14,0.4,0.448,2.969,0.1625
batch 14,0.6,0.424,3.2432,0.1293
batch 14,0.8,0.4013,3.417,0.1152
batch 14,1.0,0.3798,3.5127,0.1087
batch 14,1.2,0.3594,3.548,0.1064
batch 14,1.4,0.3402,3.5372,0.1068
batch 14,1.6,0.3219,3.4915,0.1093
batch 14,1.8,0.3047,3.4198,0.1136
batch 14,2.0,0.2884,3.329,0.1196
batch 14,2.2,0.2729,3.2249,0.1273
batch 14,2.4,0.2583,3.1116,0.137
batch 14,2.6,0.2445,2.9927,0.1488
batch 14,2.8,0.2314,2.8708,0.1633
batch 14,3.0,0.2191,2.7478,0.1809
batch 14,3.2,0.2074,2.6255,0.2025
batch 14,3.4,0.1964,2.5049,0.2292
batch 14,3.6,0.186,2.387,0.2626
batch 14,3.8,0.1762,2.2724,0.3049
batch 14,4.0,0.1669,2.1617,0.3591
batch 14,4.2,0.1583,2.0553,0.4293
batch 14,4.4,0.1503,1.9535,0.5209
batch 14,4.6,0.143,1.8567,0.6406
batch 14,4.8,0.1364,1.7653,0.7958
batch 14,5.0,0.1308,1.6799,0.9941
batch 14,5.2,0.1265,1.6016,1.2414
batch 14,5.4,0.1238,1.5318,1.5405
batch 14,5.6,0.1235,1.4729,1.89
batch 14,5.8,0.1262,1.428,2.2827
batch 14,6.0,0.1328,1.4013,2.7047
batch 14,6.2,0.1441,1.3976,3.1343
batch 14,6.4,0.1604,1.422,3.5424
batch 14,6.6,0.1816,1.4789,3.8922
batch 14,6.8,0.2067,1.5708,4.1421
batch 14,7.0,0.2336,1.6965,4.2491
batch 14,7.2,0.2594,1.8501,4.1752
batch 14,7.4,0.2808,2.0204,3.8944
batch 14,7.6,0.2945,2.1918,3.4006
batch 14,7.8,0.299,2.3472,2.7136
batch 14,8.0,0.2945,2.4712,1.8863
batch 14,8.2,0.2833,2.5543,1.0232
batch 14,8.4,0.2691,2.5952,0.3734
batch 14,8.6,0.2549,2.5995,0.2204
batch 14,8.8,0.2413,2.5753,0.2183
batch 14,9.0,0.2284,2.5299,0.2279
batch 14,9.2,0.2163,2.4687,0.2432
batch 14,9.4,0.2048,2.3963,0.2644
batch 14,9.6,0.194,2.3162,0.2925
batch 14,9.8,0.1838,2.2312,0.3292
batch 14,10.0,0.1742,2.1434,0.3769
batch 14,10.2,0.1652,2.0546,0.4388
batch 14,10.4,0.1568,1.9663,0.5195
batch 14,10.6,0.1491,1.8795,0.6245
batch 14,10.8,0.1422,1.7953,0.7604
batch 14,11.0,0.1361,1.7149,0.9339
batch 14,11.2,0.1311,1.6395,1.1513
batch 14,11.4,0.1276,1.5705,1.4165
batch 14,11.6,0.1261,1.5103,1.7299
batch 14,11.8,0.1271,1.4614,2.0875
batch 14,12.0,0.1315,1.4277,2.4791
batch 14,12.2,0.14,1.4133,2.8878
batch 14,12.4,0.153,1.4232,3.2897
batch 14,12.6,0.1708,1.4618,3.6534
batch 14,12.8,0.1927,1.5324,3.9419
batch 14,13.0,0.2174,1.6357,4.1151
batch 14,13.2,0.2425,1.7682,4.1347
batch 14,13.4,0.265,1.9221,3.9701
batch 14,13.6,0.2819,2.0848,3.6056
batch 14,13.8,0.2908,2.2406,3.0471
batch 14,14.0,0.2908,2.3741,2.3268
batch 14,14.2,0.2833,2.4732,1.5121
batch 14,14.4,0.2708,2.5321,0.7361
batch 14,14.6,0.2568,2.5525,0.2911
batch 14,14.8,0.2431,2.5414,0.23
batch 14,15.0,0.2302,2.5062,0.2349
batch 14,15.2,0.218,2.4531,0.2484
batch 14,15.4,0.2064,2.3871,0.2682
batch 14,15.6,0.1955,2.3119,0.295
batch 14,15.8,0.1852,2.2306,0.3304
batch 14,16.0,0.1756,2.1457,0.3765
batch 14,16.2,0.1665,2.0591,0.4365
batch 14,16.4,0.158,1.9723,0.5147
batch 14,16.6,0.1502,1.8866,0.6166
batch 14,16.8,0.1432,1.8032,0.7484
batch 14,17.0,0.137,1.7231,0.917
batch 14,17.2,0.1319,1.6478,1.1286
batch 14,17.4,0.1282,1.5786,1.3873
batch 14,17.6,0.1264,1.5177,1.6941
batch 14,17.8,0.1271,1.4677,2.0454
batch 14,18.0,0.1311,1.4323,2.4319
batch 14,18.2,0.139,1.4157,2.8375
batch 14,18.4,0.1514,1.4226,3.2393
batch 14,18.6,0.1686,1.4576,3.607
batch 14,18.8,0.19,1.524,3.9042
batch 14,19.0,0.2143,1.623,4.0914
batch 14,19.2,0.2393,1.7517,4.1301
batch 14,19.4,0.2621,1.9026,3.9887
batch 14,19.6,0.2796,2.0639,3.6497
batch 14,19.8,0.2894,2.2203,3.116
batch 14,20.0,0.2905,2.3562,2.4166
batch 14,20.2,0.2837,2.459,1.613
batch 14,20.4,0.2718,2.5222,0.8254
batch 14,20.6,0.2578,2.5467,0.3216
batch 14,20.8,0.2441,2.5388,0.2325
batch 14,21.0,0.2312,2.506,0.2353
batch 14,21.2,0.2189,2.4548,0.2481
batch 14,21.4,0.2073,2.3901,0.2673
batch 14,21.6,0.1963,2.3159,0.2935
batch 14,21.8,0.186,2.2354,0.3282
batch 14,22.0,0.1763,2.151,0.3734
batch 14,22.2,0.1672,2.0647,0.4322
batch 14,22.4,0.1587,1.9781,0.509
batch 14,22.6,0.1508,1.8924,0.6089
batch 14,22.8,0.1437,1.8089,0.7383
batch 14,23.0,0.1374,1.7287,0.904
batch 14,23.2,0.1322,1.653,1.1122
batch 14,23.4,0.1284,1.5834,1.3673
batch 14,23.6,0.1265,1.5219,1.6706
batch 14,23.8,0.127,1.4711,2.0187
batch 14,24.0,0.1307,1.4345,2.4029
batch 14,24.2,0.1383,1.4164,2.8076
batch 14,24.4,0.1504,1.4214,3.2103
batch 14,24.6,0.1672,1.4542,3.5814
batch 14,24.8,0.1883,1.5183,3.8848
batch 15,0.0,0.5,2.0,4.0
batch 15,0.2,0.5024,2.5984,3.246
batch 15,0.4,0.4901,3.0684,1.8589
batch 15,0.6,0.4666,3.4081,0.3065
batch 15,0.8,0.4416,3.6313,0.1026
batch 15,1.0,0.4179,3.7622,0.0958
batch 15,1.2,0.3955,3.8216,0.0929
batch 15,1.4,0.3743,3.8261,0.0926
batch 15,1.6,0.3543,3.789,0.0941
batch 15,1.8,0.3353,3.7205,0.0971
batch 15,2.0,0.3173,3.6291,0.1015
batch 15,2.2,0.3003,3.5212,0.1072
batch 15,2.4,0.2842,3.402,0.1144
batch 15,2.6,0.269,3.2754,0.1232
batch 15,2.8,0.2546,3.1446,0.1338
batch 15,3.0,0.241,3.012,0.1466
batch 15,3.2,0.2281,2.8795,0.1619
batch 15,3.4,0.2159,2.7484,0.1806
batch 15,3.6,0.2044,2.6198,0.2034
batch 15,3.8,0.1936,2.4946,0.2315
batch 15,4.0,0.1833,2.3733,0.2667
batch 15,4.2,0.1736,2.2564,0.3113
batch 15,4.4,0.1646,2.144,0.3687
batch 15,4.6,0.1561,2.0366,0.4431
batch 15,4.8,0.1482,1.9343,0.5404
batch 15,5.0,0.1411,1.8373,0.6676
batch 15,5.2,0.1347,1.7462,0.8323
batch 15,5.4,0.1293,1.6615,1.0419
batch 15,5.6,0.1254,1.5843,1.3017
batch 15,5.8,0.1232,1.5162,1.614
batch 15,6.0,0.1235,1.4598,1.976
batch 15,6.2,0.1271,1.4183,2.3789
batch 15,6.4,0.1347,1.3962,2.8071
batch 15,6.6,0.1472,1.3985,3.2372
batch 15,6.8,0.1647,1.4301,3.6378
batch 15,7.0,0.1871,1.4954,3.9705
batch 15,7.2,0.2131,1.596,4.1926
batch 15,7.4,0.2403,1.7298,4.2614
batch 15,7.6,0.2655,1.8895,4.1406
batch 15,7.8,0.2855,2.0628,3.808
batch 15,8.0,0.2973,2.2332,3.2629
batch 15,8.2,0.2996,2.3835,2.5323
batch 15,8.4,0.2932,2.4994,1.6788
batch 15,8.6,0.2809,2.573,0.8293
batch 15,8.8,0.2664,2.6049,0.2934
batch 15,9.0,0.2522,2.602,0.2156
batch 15,9.2,0.2388,2.5723,0.2186
batch 15,9.4,0.2261,2.5227,0.2294
batch 15,9.6,0.2141,2.4585,0.2459
batch 15,9.8,0.2027,2.3838,0.2683
batch 15,10.0,0.192,2.3022,0.2979
batch 15,10.2,0.1819,2.2162,0.3365
batch 15,10.4,0.1725,2.1278,0.3865
batch 15,10.6,0.1636,2.0388,0.4516
batch 15,10.8,0.1553,1.9505,0.5363
batch 15,11.0,0.1477,1.8639,0.6465
batch 15,11.2,0.1409,1.7803,0.7889
batch 15,11.4,0.135,1.7006,0.9702
batch 15,11.6,0.1303,1.6261,1.1962
batch 15,11.8,0.1271,1.5586,1.4705
batch 15,12.0,0.126,1.5001,1.7928
batch 15,12.2,0.1276,1.4538,2.1578
batch 15,12.4,0.1327,1.4232,2.5543
batch 15,12.6,0.142,1.413,2.964
batch 15,12.8,0.1559,1.4279,3.3616
batch 15,13.0,0.1746,1.4722,3.7146
batch 15,13.2,0.1972,1.549,3.985
batch 15,13.4,0.2222,1.6581,4.1326
batch 15,13.6,0.2471,1.7955,4.12
batch 15,13.8,0.2688,1.9522,3.9189
batch 15,14.0,0.2843,2.1149,3.5171
batch 15,14.2,0.2915,2.2679,2.9248
batch 15,14.4,0.29,2.3958,2.1801
batch 15,14.6,0.2813,2.4877,1.3588
batch 15,14.8,0.2683,2.5392,0.616
batch 15,15.0,0.2543,2.5532,0.2631
batch 15,15.2,0.2407,2.5371,0.2295
batch 15,15.4,0.2279,2.4982,0.2368
batch 15,15.6,0.2158,2.4423,0.2514
batch 15,15.8,0.2044,2.3743,0.2724
batch 15,16.0,0.1936,2.2977,0.3006
batch 15,16.2,0.1834,2.2156,0.3377
batch 15,16.4,0.1739,2.1302,0.3861
batch 15,16.6,0.1649,2.0434,0.449
batch 15,16.8,0.1566,1.9567,0.5311
batch 15,17.0,0.1489,1.8714,0.6379
batch 15,17.2,0.142,1.7885,0.7759
batch 15,17.4,0.136,1.7092,0.9518
batch 15,17.6,0.1311,1.6348,1.1716
batch 15,17.8,0.1277,1.5669,1.4391
batch 15,18.0,0.1263,1.5077,1.7543
batch 15,18.2,0.1276,1.4601,2.1129
batch 15,18.4,0.1322,1.4278,2.5042
batch 15,18.6,0.1409,1.415,2.9112
batch 15,18.8,0.1542,1.4267,3.3092
batch 15,19.0,0.1721,1.4671,3.667
batch 15,19.2,0.1942,1.5395,3.9474
batch 15,19.4,0.2188,1.6442,4.1106
batch 15,19.6,0.2437,1.7776,4.1188
batch 15,19.8,0.2657,1.9314,3.9425
batch 15,20.0,0.282,2.093,3.5674
batch 15,20.2,0.2903,2.2468,3.0008
batch 15,20.4,0.2898,2.3775,2.2768
batch 15,20.6,0.2819,2.4735,1.4646
batch 15,20.8,0.2693,2.5294,0.7022
batch 15,21.0,0.2553,2.5475,0.2845
batch 15,21.2,0.2417,2.5345,0.2314
batch 15,21.4,0.2289,2.4981,0.2371
batch 15,21.6,0.2167,2.4441,0.2511
batch 15,21.8,0.2053,2.3774,0.2715
batch 15,22.0,0.1944,2.3019,0.2991
batch 15,22.2,0.1842,2.2205,0.3354
batch 15,22.4,0.1746,2.1356,0.3828
batch 15,22.6,0.1656,2.0491,0.4446
batch 15,22.8,0.1572,1.9625,0.5251
batch 15,23.0,0.1495,1.8772,0.6298
batch 15,23.2,0.1425,1.7942,0.7653
batch 15,23.4,0.1364,1.7147,0.9382
batch 15,23.6,0.1314,1.64,1.1546
batch 15,23.8,0.1279,1.5717,1.4184
batch 15,24.0,0.1264,1.5118,1.7301
batch 15,24.2,0.1274,1.4633,2.0855
batch 15,24.4,0.1318,1.4298,2.4747
batch 15,24.6,0.1401,1.4154,2.881
batch 15,24.8,0.1531,1.4251,3.2804
batch 16,0.0,0.0,0.0,0.0
batch 16,0.2,0.0035,0.0019,2.2056
batch 16,0.4,0.0278,0.0283,4.3985
batch 16,0.6,0.0915,0.1352,6.5189
batch 16,0.8,0.2082,0.4001,8.425
batch 16,1.0,0.3794,0.9006,9.8789
batch 16,1.2,0.587,1.6832,10.5642
batch 16,1.4,0.7903,2.7256,10.1482
batch 16,1.6,0.9371,3.9146,8.3838
batch 16,1.8,0.9908,5.0662,5.224
batch 16,2.0,0.9621,6.0047,0.9888
batch 16,2.2,0.9106,6.6675,0.0451
batch 16,2.4,0.8618,7.0997,0.0414
batch 16,2.6,0.8155,7.3524,0.0395
batch 16,2.8,0.7718,7.4661,0.0386
batch 16,3.0,0.7304,7.4731,0.0386
batch 16,3.2,0.6912,7.399,0.0391
batch 16,3.4,0.6541,7.2642,0.04
batch 16,3.6,0.619,7.0847,0.0414
batch 16,3.8,0.5858,6.8733,0.0431
batch 16,4.0,0.5544,6.6398,0.0452
batch 16,4.2,0.5246,6.392,0.0476
batch 16,4.4,0.4965,6.1361,0.0504
batch 16,4.6,0.4699,5.8767,0.0536
batch 16,4.8,0.4447,5.6174,0.0573
batch 16,5.0,0.4208,5.3609,0.0614
batch 16,5.2,0.3982,5.1093,0.0661
batch 16,5.4,0.3769,4.8641,0.0713
batch 16,5.6,0.3567,4.6263,0.0773
batch 16,5.8,0.3375,4.3968,0.0842
batch 16,6.0,0.3194,4.1758,0.0919
batch 16,6.2,0.3023,3.9638,0.1009
batch 16,6.4,0.2861,3.7609,0.1112
batch 16,6.6,0.2708,3.5669,0.1233
batch 16,6.8,0.2563,3.3819,0.1375
batch 16,7.0,0.2426,3.2056,0.1543
batch 16,7.2,0.2296,3.0379,0.1745
batch 16,7.4,0.2174,2.8784,0.1991
batch 16,7.6,0.2058,2.727,0.2294
batch 16,7.8,0.1949,2.5833,0.2674
batch 16,8.0,0.1846,2.4471,0.3158
batch 16,8.2,0.175,2.3182,0.3782
batch 16,8.4,0.166,2.1963,0.4597
batch 16,8.6,0.1576,2.0814,0.5666
batch 16,8.8,0.15,1.9735,0.7066
batch 16,9.0,0.1434,1.8728,0.8878
batch 16,9.2,0.1378,1.78,1.1176
batch 16,9.4,0.1338,1.696,1.4008
batch 16,9.6,0.1319,1.6228,1.7386
batch 16,9.8,0.1329,1.5632,2.127
batch 16,10.0,0.1375,1.5209,2.5557
batch 16,10.2,0.1468,1.5008,3.0072
batch 16,10.4,0.1614,1.5084,3.4562
batch 16,10.6,0.1817,1.5492,3.8698
batch 16,10.8,0.2072,1.6276,4.208
batch 16,11.0,0.2363,1.745,4.4272
batch 16,11.2,0.2665,1.8984,4.4841
batch 16,11.4,0.2944,2.0795,4.3429
batch 16,11.6,0.3161,2.2741,3.9823
batch 16,11.8,0.3287,2.4643,3.4029
batch 16,12.0,0.3308,2.631,2.6334
batch 16,12.2,0.3235,2.7589,1.7377
batch 16,12.4,0.3098,2.8398,0.8447
batch 16,12.6,0.2938,2.8746,0.2829
batch 16,12.8,0.2781,2.8709,0.2086
batch 16,13.0,0.2633,2.8379,0.2119
batch 16,13.2,0.2493,2.7828,0.2224
batch 16,13.4,0.236,2.7117,0.2381
batch 16,13.6,0.2235,2.6291,0.2596
batch 16,13.8,0.2117,2.5388,0.2879
batch 16,14.0,0.2005,2.4437,0.3245
batch 16,14.2,0.19,2.346,0.3721
batch 16,14.4,0.1802,2.2475,0.4338
batch 16,14.6,0.171,2.1497,0.5142
batch 16,14.8,0.1625,2.0537,0.6189
batch 16,15.0,0.1548,1.9608,0.7546
batch 16,15.2,0.148,1.8719,0.9284
batch 16,15.4,0.1423,1.7883,1.1465
batch 16,15.6,0.1382,1.7115,1.4134
batch 16,15.8,0.1361,1.6438,1.7303
batch 16,16.0,0.1367,1.5879,2.0936
batch 16,16.2,0.1406,1.5475,2.4942
batch 16,16.4,0.1488,1.5273,2.9166
batch 16,16.6,0.1619,1.5322,3.3381
batch 16,16.8,0.1802,1.5673,3.7289
batch 16,17.0,0.2031,1.6365,4.053
batch 16,17.2,0.2296,1.7415,4.2707
batch 16,17.4,0.2574,1.8798,4.3424
batch 16,17.6,0.2833,2.0444,4.2346
batch 16,17.8,0.3042,2.2231,3.9263
batch 16,18.0,0.317,2.3998,3.4157
batch 16,18.2,0.3205,2.5574,2.7252
batch 16,18.4,0.3149,2.6812,1.9074
batch 16,18.6,0.3029,2.7623,1.0611
batch 16,18.8,0.2877,2.7997,0.4096
batch 16,19.0,0.2725,2.7993,0.2315
batch 16,19.2,0.258,2.7695,0.2273
batch 16,19.4,0.2442,2.7177,0.238
batch 16,19.6,0.2313,2.6498,0.255
batch 16,19.8,0.219,2.5704,0.2784
batch 16,20.0,0.2074,2.4831,0.3094
batch 16,20.2,0.1965,2.3909,0.3499
batch 16,20.4,0.1863,2.2961,0.4026
